feature,importance
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,61.87299919128418
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,460.8615298271179
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,1796.9289255142212
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,482.9564723968506
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,4629.736581087112
PREV_NAME_CONTRACT_STATUS_Unusedoffer_MEAN,192.72270154953003
PREV_NAME_PAYMENT_TYPE_Cashthroughthebank_MEAN,643.1401686668396
PREV_NAME_PAYMENT_TYPE_Cashlessfromtheaccountoftheemployer_MEAN,0.0
PREV_NAME_PAYMENT_TYPE_Noncashfromyouraccount_MEAN,30.79984951019287
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,1099.3582310676575
PREV_CODE_REJECT_REASON_CLIENT_MEAN,13.583100318908691
PREV_CODE_REJECT_REASON_HC_MEAN,797.0933475494385
PREV_CODE_REJECT_REASON_LIMIT_MEAN,162.03926944732666
PREV_CODE_REJECT_REASON_SCO_MEAN,397.8324627876282
PREV_CODE_REJECT_REASON_SCOFR_MEAN,268.83965396881104
PREV_CODE_REJECT_REASON_SYSTEM_MEAN,0.0
PREV_CODE_REJECT_REASON_VERIF_MEAN,0.0
PREV_CODE_REJECT_REASON_XAP_MEAN,1358.187255859375
PREV_CODE_REJECT_REASON_XNA_MEAN,0.0
PREV_NAME_TYPE_SUITE_Children_MEAN,70.39101123809814
PREV_NAME_TYPE_SUITE_Family_MEAN,627.3776488304138
PREV_NAME_TYPE_SUITE_Groupofpeople_MEAN,0.0
PREV_NAME_TYPE_SUITE_Other_A_MEAN,0.0
PREV_NAME_TYPE_SUITE_Other_B_MEAN,244.0241413116455
PREV_NAME_TYPE_SUITE_Spousepartner_MEAN,245.30997169017792
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,1631.792405128479
PREV_NAME_TYPE_SUITE_nan_MEAN,757.4301824569702
PREV_NAME_CLIENT_TYPE_New_MEAN,1233.6212587356567
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,394.59115171432495
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,475.0011320114136
PREV_NAME_CLIENT_TYPE_XNA_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_AdditionalService_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Animals_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_AudioVideo_MEAN,560.5686507225037
PREV_NAME_GOODS_CATEGORY_AutoAccessories_MEAN,18.54571008682251
PREV_NAME_GOODS_CATEGORY_ClothingandAccessories_MEAN,53.576289892196655
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,350.92163038253784
PREV_NAME_GOODS_CATEGORY_ConstructionMaterials_MEAN,60.22544002532959
PREV_NAME_GOODS_CATEGORY_ConsumerElectronics_MEAN,532.9195561408997
PREV_NAME_GOODS_CATEGORY_DirectSales_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Education_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Fitness_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,339.2904725074768
PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,81.40887987613678
PREV_NAME_GOODS_CATEGORY_Homewares_MEAN,40.123539447784424
PREV_NAME_GOODS_CATEGORY_HouseConstruction_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Insurance_MEAN,0.0
